ISO Code	Language Name	Population Size	Vitality	Digital Support
dty	Dotyali	10K to 1M	Stable	Ascending
dua	Duala	10K to 1M	Institutional	Ascending
dub	Dubli	10K to 1M	Endangered	Emerging
duc	Duna	10K to 1M	Stable	Emerging
due	Umiray Dumaget Agta	Less than 10K	Endangered	Ascending
duf	Drubea	Less than 10K	Endangered	Emerging
dug	Chiduruma	10K to 1M	Institutional	Ascending
duh	Dungra Bhil	10K to 1M	Stable	Still
dui	Dumun	Less than 10K	Endangered	Still
duk	Uyajitaya	Less than 10K	Endangered	Still
dul	Inagta Alabat	None	Endangered	Still
dun	Dusun Deyah	10K to 1M	Endangered	Emerging
duo	Agta, Dupaninan	Less than 10K	Endangered	Ascending
dup	Duano	Less than 10K	Endangered	Still
duq	Dusun Malang	Less than 10K	Endangered	Emerging
dur	Dii	10K to 1M	Stable	Ascending
dus	Dumi	Less than 10K	Endangered	Emerging
duu	Drung	10K to 1M	Stable	Emerging
duv	Duvle	Less than 10K	Endangered	Still
duw	Dusun Witu	Less than 10K	Endangered	Still
dux	Duungooma	10K to 1M	Stable	Emerging
duy	Agta, Dicamay	None	Extinct	Still
duz	Duli-Gey	None	Endangered	Emerging
dva	Duau	Less than 10K	Stable	Emerging
dwa	Dirya	Less than 10K	Endangered	Still
dwk	Kui, Dawik	10K to 1M	Stable	Emerging
dwr	Dawro	10K to 1M	Institutional	Emerging
dwu	Dhuwal	Less than 10K	Stable	Emerging
dww	Dawawa	Less than 10K	Stable	Emerging
dwy	Dhuwaya	Less than 10K	Institutional	Ascending
dwz	Dewas Rai	10K to 1M	Endangered	Still
dya	Dyan	10K to 1M	Stable	Emerging
dyb	Dyaberdyaber	None	Extinct	Still
dyd	Dyugun	None	Extinct	Still
dyg	Agta, Villa Viciosa	None	Extinct	Still
dyi	Djimini Sénoufo	10K to 1M	Stable	Emerging
dym	Dogon, Yanda Dom	Less than 10K	Stable	Still
dyn	Dyangadi	None	Extinct	Still
dyo	Jola-Fonyi	10K to 1M	Stable	Ascending
dyr	Dyarim	Less than 10K	Stable	Still
dyu	Jula	1M to 1B	Institutional	Ascending
dyy	Djabugay	None	Endangered	Still
dza	Tunzuii	Less than 10K	Endangered	Still
dzd	Daza	Less than 10K	Endangered	Still
dze	Djiwarli	None	Extinct	Still
dzg	Dazaga	10K to 1M	Institutional	Ascending
dzl	Dzalakha	10K to 1M	Stable	Still
dzn	Dzando	Less than 10K	Stable	Still
dzo	Dzongkha	10K to 1M	Institutional	Ascending
eaa	Karenggapa	None	Endangered	Still
ebc	Beginci	Less than 10K	Stable	Still
ebg	Ebughu	Less than 10K	Stable	Still
ebk	Bontok, Eastern	Less than 10K	Stable	Emerging
ebo	Teke-Eboo	10K to 1M	Stable	Still
ebr	Tchaman	10K to 1M	Stable	Emerging
ebu	Kiembu	10K to 1M	Stable	Ascending
ecs	Ecuadorian Sign Language	10K to 1M	Stable	Emerging
eee	E	Less than 10K	Endangered	Emerging
efa	Efai	Less than 10K	Stable	Still
efe	Efe	10K to 1M	Stable	Emerging
efi	Efik	1M to 1B	Institutional	Ascending
ega	Ega	Less than 10K	Endangered	Still
egl	Emilian	10K to 1M	Endangered	Ascending
egm	Benamanga	10K to 1M	Stable	Still
ego	Eggon	10K to 1M	Endangered	Emerging
ehs	Miyakubo Sign Language	None	Stable	Still
ehu	Ehueun	10K to 1M	Stable	Still
eip	Lik	Less than 10K	Endangered	Emerging
eit	Eitiep	Less than 10K	Endangered	Still
eiv	Askopan	Less than 10K	Stable	Still
eja	Jola-Felupe	10K to 1M	Endangered	Emerging
eka	Ekajuk	10K to 1M	Stable	Emerging
eke	Ekit	10K to 1M	Stable	Still
ekg	Ekari	10K to 1M	Stable	Emerging
eki	Eki	Less than 10K	Stable	Still
ekk	Standard Estonian	1M to 1B	Institutional	Vital
ekl	Kol	Less than 10K	Stable	Emerging
ekm	Nulibie	10K to 1M	Stable	Ascending
eko	Koti	10K to 1M	Stable	Ascending
ekp	Ekpeye	10K to 1M	Stable	Emerging
ekr	Yace	10K to 1M	Stable	Still
eky	Kayah, Eastern	10K to 1M	Stable	Emerging
ele	Elepi	Less than 10K	Endangered	Still
elh	El Hugeirat	None	Endangered	Still
eli	Nding	Less than 10K	Endangered	Still
elk	Elkei	Less than 10K	Stable	Still
ell	Greek	1M to 1B	Institutional	Vital
elm	Eleme	10K to 1M	Stable	Still
elo	El Molo	None	Endangered	Still
elu	Elu	Less than 10K	Endangered	Still
ema	Emai-Iuleha-Ora	10K to 1M	Stable	Emerging
emb	Embaloh	10K to 1M	Endangered	Still
eme	Tekó	Less than 10K	Stable	Emerging
emg	Mewahang, Eastern	Less than 10K	Endangered	Emerging
emi	Mussau-Emira	Less than 10K	Stable	Ascending
emk	Eastern Maninkakan	1M to 1B	Institutional	Ascending
emm	Mamulique	None	Extinct	Still
emn	Eman	Less than 10K	Endangered	Emerging
emp	Northern Emberá	10K to 1M	Stable	Ascending
emq	Minyag, Eastern	Less than 10K	Endangered	Still
ems	Pacific Gulf Yupik	None	Endangered	Emerging
emu	Muria, Eastern	10K to 1M	Stable	Emerging
emw	Emplawas	None	Endangered	Still
emx	Erromintxela	Less than 10K	Endangered	Emerging
emz	Mbessa	10K to 1M	Stable	Still
ena	Apal	Less than 10K	Endangered	Emerging
enb	Markweeta	10K to 1M	Stable	Ascending
enc	En	Less than 10K	Endangered	Emerging
end	Ende	10K to 1M	Stable	Emerging
enf	Forest Enets	Less than 10K	Endangered	Emerging
eng	English	More than 1B	Institutional	Thriving
enh	Enets, Tundra	Less than 10K	Endangered	Emerging
enl	Enlhet	Less than 10K	Stable	Still
enn	Engenni	10K to 1M	Stable	Emerging
eno	Enggano	Less than 10K	Endangered	Emerging
enq	Enga	10K to 1M	Stable	Ascending
enr	Emem	Less than 10K	Endangered	Still
enu	Enu	10K to 1M	Endangered	Still
env	Enwan	None	Stable	Still
enw	Enwan	10K to 1M	Stable	Still
enx	Enxet	Less than 10K	Stable	Emerging
eot	Beti	Less than 10K	Endangered	Emerging
epi	Epie	10K to 1M	Stable	Still
epo	Esperanto	10K to 1M	Institutional	Vital
era	Eravallan	Less than 10K	Endangered	Still
erg	Sie	Less than 10K	Stable	Emerging
erh	Eruwa	Less than 10K	Endangered	Still
eri	Ogea	Less than 10K	Stable	Emerging
erk	South Efate	Less than 10K	Stable	Emerging
ero	Horpa	10K to 1M	Endangered	Emerging
err	Erre	None	Extinct	Still
ers	Ersu	10K to 1M	Endangered	Still
ert	Jogwai	Less than 10K	Endangered	Still
erw	Erokwanas	Less than 10K	Endangered	Still
ese	Ese Ejja	Less than 10K	Stable	Ascending
esg	Aheri Gondi	10K to 1M	Stable	Ascending
esh	Eshtehardi	None	Endangered	Still
esi	North Alaskan Inupiatun	None	Endangered	Emerging
esk	Northwest Alaska Inupiatun	None	Endangered	Ascending
esl	Egyptian Sign Language	10K to 1M	Stable	Still
esm	Esuma	None	Extinct	Still
esn	Salvadoran Sign Language	10K to 1M	Institutional	Emerging
eso	Estonian Sign Language	Less than 10K	Stable	Emerging
esq	Esselen	None	Endangered	Still
ess	Saint Lawrence Island Yupik	Less than 10K	Endangered	Ascending
esu	Central Yupik	10K to 1M	Endangered	Ascending
esy	Eskayan	Less than 10K	Endangered	Still
etb	Etebi	10K to 1M	Stable	Still
etc	Etchemin	None	Extinct	Still
eth	Ethiopian Sign Language	10K to 1M	Stable	Emerging
etn	Eton	Less than 10K	Stable	Emerging
eto	Eton	10K to 1M	Stable	Emerging
etr	Edolo	Less than 10K	Stable	Emerging
ets	Etsako	10K to 1M	Stable	Emerging
etu	Ejagham	10K to 1M	Stable	Ascending
etx	Iten	10K to 1M	Stable	Emerging
etz	Semimi	Less than 10K	Endangered	Still
eud	Eudeve	None	Extinct	Still
eus	Basque	1M to 1B	Institutional	Vital
eve	Even	Less than 10K	Endangered	Ascending
evh	Uvbie	10K to 1M	Stable	Still
evn	Evenki	10K to 1M	Endangered	Ascending
ewe	Éwé	1M to 1B	Institutional	Ascending
ewo	Ewondo	10K to 1M	Institutional	Ascending
ext	Extremaduran	10K to 1M	Endangered	Ascending
eya	Eyak	None	Endangered	Emerging
eyo	Keiyo	10K to 1M	Stable	Emerging
eza	Ezaa	10K to 1M	Stable	Emerging
eze	Uzekwe	Less than 10K	Stable	Still
faa	Fasu	Less than 10K	Stable	Emerging
fab	Fa d’Ambu	Less than 10K	Stable	Emerging
fad	Wagi	Less than 10K	Endangered	Emerging
faf	Fagani	Less than 10K	Endangered	Emerging
fag	Finongan	Less than 10K	Stable	Emerging
fah	Fali of Baissa	None	Extinct	Still
fai	Faiwol	Less than 10K	Stable	Emerging
faj	Kursav	None	Endangered	Still
fak	Fang	Less than 10K	Endangered	Emerging
fal	Fali, South	10K to 1M	Stable	Emerging
fam	Fam	Less than 10K	Endangered	Still
fan	Fang	1M to 1B	Institutional	Emerging
fao	Faroese	10K to 1M	Institutional	Vital
fap	Paloor	10K to 1M	Stable	Emerging
far	Fataleka	10K to 1M	Stable	Emerging
fau	Fayu	Less than 10K	Stable	Still
fax	Fala	Less than 10K	Stable	Emerging
fay	Fars, Southwestern	10K to 1M	Endangered	Still
fbl	Bikol, West Albay	10K to 1M	Stable	Emerging
fcs	Quebec Sign Language	Less than 10K	Stable	Emerging
fer	Feroge	10K to 1M	Endangered	Still
ffi	Foia Foia	Less than 10K	Stable	Emerging
ffm	Maasina Fulfulde	1M to 1B	Institutional	Ascending
fgr	Fongoro	None	Endangered	Emerging
fia	Nobiin	10K to 1M	Endangered	Ascending
fie	Fyer	10K to 1M	Stable	Still
fif	Faifi	10K to 1M	Stable	Still
fij	Fijian	10K to 1M	Institutional	Ascending
fil	Filipino	None	Institutional	Vital
fin	Finnish	1M to 1B	Institutional	Thriving
fip	Fipa	10K to 1M	Stable	Emerging
fir	Firan	Less than 10K	Stable	Still
fit	Meänkieli	10K to 1M	Stable	Emerging
fiw	Fiwaga	Less than 10K	Endangered	Still
fkk	Kirya-Konzel	Less than 10K	Stable	Still
fkv	Kven Finnish	Less than 10K	Endangered	Ascending
fla	Kalispel-Pend d’Oreille	None	Endangered	Emerging
flh	Foau	Less than 10K	Stable	Still
fli	Fali Muchella	10K to 1M	Stable	Emerging
fll	Fali, North	10K to 1M	Endangered	Emerging
fln	Flinders Island	None	Extinct	Still
flr	Fuliiru	10K to 1M	Stable	Ascending
fly	Flaaitaal	None	Endangered	Emerging
fmp	Fe’fe’	10K to 1M	Stable	Ascending
fmu	Muria, Far Western	10K to 1M	Stable	Emerging
fnb	Fanbak	Less than 10K	Endangered	Still
fng	Pidgin Bantu	Less than 10K	Endangered	Emerging
fni	Fania	Less than 10K	Stable	Emerging
fod	Foodo	10K to 1M	Stable	Emerging
foi	Foi	Less than 10K	Endangered	Still
fom	Foma	10K to 1M	Stable	Emerging
fon	Fon	1M to 1B	Institutional	Ascending
for	Fore	10K to 1M	Stable	Emerging
fos	Siraya	None	Endangered	Still
fpe	Equatorial Guinean Pidgin	10K to 1M	Institutional	Emerging
fqs	Momu	Less than 10K	Endangered	Emerging
fra	French	1M to 1B	Institutional	Thriving
frc	Cajun French	10K to 1M	Endangered	Emerging
frd	Fordata	10K to 1M	Endangered	Emerging
frp	Arpitan	10K to 1M	Endangered	Ascending
frq	Forak	Less than 10K	Endangered	Still
frr	Northern Frisian	Less than 10K	Endangered	Ascending
frs	East Frisian Low Saxon	10K to 1M	Endangered	Emerging
frt	Kiae	Less than 10K	Stable	Still
fry	Frisian	10K to 1M	Institutional	Vital
fse	Finnish Sign Language	Less than 10K	Stable	Emerging
fsl	French Sign Language	10K to 1M	Stable	Emerging
fss	Finland-Swedish Sign Language	Less than 10K	Endangered	Still
fub	Adamawa Fulfulde	1M to 1B	Institutional	Ascending
fuc	Pulaar	1M to 1B	Stable	Ascending
fud	East Futuna	Less than 10K	Stable	Emerging
fue	Borgu Fulfulde	10K to 1M	Stable	Emerging
fuf	Pular	1M to 1B	Stable	Ascending
fuh	Western Niger Fulfulde	1M to 1B	Stable	Ascending
fui	Fulfulde, Bagirmi	10K to 1M	Stable	Emerging
fuj	Ko	Less than 10K	Endangered	Emerging
fum	Fum	None	Stable	Still
fun	Iatê	Less than 10K	Endangered	Still
fuq	Central-Eastern Niger Fulfulde	1M to 1B	Stable	Ascending
fur	Friulian	10K to 1M	Endangered	Vital
fut	Futuna-Aniwa	Less than 10K	Stable	Emerging
fuu	Fulu	10K to 1M	Stable	Still
fuv	Nigerian Fulfulde	1M to 1B	Institutional	Ascending
fuy	Fuyug	10K to 1M	Stable	Emerging
fvr	Fur	10K to 1M	Stable	Ascending
fwa	Fwâi	Less than 10K	Endangered	Emerging
fwe	Fwe	10K to 1M	Stable	Emerging
gaa	Ga	10K to 1M	Institutional	Ascending
gab	Gabri	10K to 1M	Stable	Emerging
gac	Great Andamanese, Mixed	None	Endangered	Emerging
gad	Gaddang	10K to 1M	Endangered	Emerging
gae	Guarequena	Less than 10K	Endangered	Still
gaf	Gende	Less than 10K	Stable	Emerging
gag	Gagauz	10K to 1M	Stable	Ascending
gah	Alekano	10K to 1M	Endangered	Emerging
gai	Mbore	Less than 10K	Stable	Emerging
gaj	Gadsup	10K to 1M	Stable	Emerging
gak	Gamkonora	Less than 10K	Endangered	Still
gal	Galolen	10K to 1M	Stable	Emerging
gam	Kandawo	Less than 10K	Stable	Emerging
gan	Gan Chinese	1M to 1B	Stable	Ascending
gao	Gants	Less than 10K	Stable	Still
gap	Gal	Less than 10K	Endangered	Still
gaq	Gata’	Less than 10K	Endangered	Emerging
gar	Galeya	Less than 10K	Stable	Still
gas	Adiwasi Garasia	10K to 1M	Stable	Emerging
gat	Aziana	Less than 10K	Stable	Still
gau	Gadaba, Mudhili	Less than 10K	Stable	Emerging
gaw	Nobonob	Less than 10K	Stable	Ascending
gax	Borana-Arsi-Guji Oromo	1M to 1B	Stable	Ascending
gay	Gayo	10K to 1M	Endangered	Ascending
gaz	West Central Oromo	1M to 1B	Institutional	Vital
gbb	Kaytetye	Less than 10K	Endangered	Still
gbd	Karajarri	None	Endangered	Still
gbe	Niksek	Less than 10K	Stable	Still
gbf	Gaikundi	Less than 10K	Stable	Emerging
gbg	Gbanziri	10K to 1M	Stable	Still
gbh	Gbe, Defi	Less than 10K	Stable	Still
gbi	Galela	10K to 1M	Endangered	Emerging
gbj	Gadaba, Bodo	Less than 10K	Endangered	Emerging
gbk	Gaddi	10K to 1M	Stable	Ascending
gbl	Gamit	10K to 1M	Stable	Emerging
gbm	Garhwali	1M to 1B	Stable	Ascending
gbn	Mo’da	Less than 10K	Endangered	Still
gbo	Northern Grebo	10K to 1M	Stable	Ascending
gbp	Gbaya-Bossangoa	10K to 1M	Stable	Still
gbq	Gbaya-Bozoum	10K to 1M	Stable	Still
gbr	Gbagyi	1M to 1B	Endangered	Emerging
gbs	Gbe, Gbesi	10K to 1M	Stable	Still
gbu	Gagadu	None	Extinct	Still
gbv	Gbanu	10K to 1M	Stable	Still
gbw	Gabi-Gabi	None	Endangered	Still
gbx	Gbe, Eastern Xwla	10K to 1M	Stable	Still
gby	Gbari	10K to 1M	Stable	Emerging
gbz	Dari, Zoroastrian	Less than 10K	Endangered	Still
gcc	Mali	Less than 10K	Endangered	Emerging
gcd	Ganggalida	None	Endangered	Still
gce	Galice	None	Extinct	Emerging
gcf	Guadeloupean French Creole	10K to 1M	Stable	Ascending
gcl	Grenadian English Creole	10K to 1M	Endangered	Emerging
gcn	Gaina	Less than 10K	Stable	Still
gcr	Guianese French Creole	10K to 1M	Stable	Ascending
gct	German, Colonia Tovar	Less than 10K	Endangered	Emerging
gda	Lohar, Gade	10K to 1M	Stable	Still
gdb	Gadaba, Pottangi Ollar	10K to 1M	Stable	Emerging
gdc	Gugu Badhun	None	Endangered	Still
gdd	Gedaged	Less than 10K	Stable	Still
gde	Gude	10K to 1M	Stable	Ascending
gdf	Guduf-Gava	10K to 1M	Endangered	Still
gdg	Gaꞌdang	Less than 10K	Stable	Emerging
gdh	Gadjerawang	None	Endangered	Still
gdi	Gundi	Less than 10K	Stable	Still
gdj	Gurdjar	None	Endangered	Still
gdk	Gadang	Less than 10K	Endangered	Emerging
gdl	Dirasha	10K to 1M	Institutional	Emerging
gdm	Laal	Less than 10K	Endangered	Emerging
gdn	Umanakaina	Less than 10K	Stable	Emerging
gdo	Ghodoberi	Less than 10K	Endangered	Emerging
gdq	Mehri	10K to 1M	Endangered	Emerging
gdr	Wipi	Less than 10K	Stable	Emerging
gds	Ghandruk Sign Language	Less than 10K	Endangered	Still
gdt	Kungardutyi	None	Extinct	Still
gdu	Gudu	Less than 10K	Stable	Still
gdx	Godwari	1M to 1B	Endangered	Emerging
gea	Geruma	Less than 10K	Endangered	Still
geb	Kire	Less than 10K	Stable	Emerging
gec	Grebo, Gboloo	10K to 1M	Stable	Emerging
ged	Gade	10K to 1M	Endangered	Still
gef	Gerai	Less than 10K	Stable	Still
geg	Gengle	Less than 10K	Stable	Still
geh	Hutterisch	10K to 1M	Stable	Emerging
gei	Gebe	Less than 10K	Endangered	Still
gej	Gen	10K to 1M	Institutional	Ascending
gek	Ywom	10K to 1M	Stable	Emerging
gel	ut-Ma’in	10K to 1M	Stable	Emerging
geq	Geme	Less than 10K	Endangered	Still
ges	Geser-Gorom	10K to 1M	Endangered	Still
gev	Eviya	None	Endangered	Still
gew	Gera	10K to 1M	Endangered	Still
gex	Garre	10K to 1M	Stable	Still
gey	Enya	10K to 1M	Stable	Emerging
gez	Geez	None	Extinct	Ascending
gfk	Patpatar	10K to 1M	Stable	Emerging
gft	Gafat	None	Extinct	Still
gga	Gao	Less than 10K	Stable	Still
ggb	Gbii	10K to 1M	Stable	Emerging
ggd	Gugadj	None	Extinct	Still
gge	Gurr-goni	None	Endangered	Still
ggg	Gurgula	10K to 1M	Stable	Still
ggk	Kungarakany	None	Extinct	Still
ggl	Ganglau	Less than 10K	Endangered	Still
ggt	Gitua	Less than 10K	Stable	Still
ggu	Gban	10K to 1M	Stable	Still
ggw	Gogodala	10K to 1M	Stable	Emerging
gha	Ghadamès	10K to 1M	Endangered	Emerging
ghe	Ghale, Southern	10K to 1M	Stable	Emerging
ghh	Ghale, Northern	Less than 10K	Endangered	Still
ghk	Karen, Geko	10K to 1M	Stable	Emerging
ghl	Ghulfan	10K to 1M	Endangered	Still
ghn	Ghanongga	Less than 10K	Stable	Still
gho	Ghomara	10K to 1M	Endangered	Emerging
ghr	Ghera	10K to 1M	Stable	Still
ghs	Guhu-Samane	10K to 1M	Stable	Emerging
ght	Kuke	Less than 10K	Stable	Emerging
gia	Kija	Less than 10K	Endangered	Emerging
gib	Gibanawa	None	Endangered	Emerging
gic	Gail	10K to 1M	Endangered	Still
gid	Gidar	10K to 1M	Stable	Emerging
gie	Guébie	Less than 10K	Endangered	Still
gig	Goaria	10K to 1M	Stable	Still
gih	Githabul	None	Endangered	Emerging
gii	Girirra	10K to 1M	Endangered	Still
gil	Kiribati	10K to 1M	Institutional	Ascending
gim	Gimi	10K to 1M	Stable	Emerging
gin	Hinukh	Less than 10K	Endangered	Emerging
gip	Gimi	Less than 10K	Stable	Still
giq	Gelao, Green	Less than 10K	Endangered	Emerging
gir	Gelao, Red	None	Endangered	Still
gis	Giziga, North	10K to 1M	Stable	Emerging
git	Gitxsan	Less than 10K	Endangered	Emerging
giu	Mulao	None	Extinct	Still
giw	Duoluo	Less than 10K	Endangered	Still
gix	Gilima	10K to 1M	Stable	Still
giy	Giyug	None	Extinct	Still
giz	Giziga	10K to 1M	Stable	Emerging
gjk	Kachi Koli	10K to 1M	Stable	Emerging
gjm	Gunditjmara	None	Extinct	Still
gjn	Gonja	10K to 1M	Institutional	Ascending
gjr	Gurindji Kriol	Less than 10K	Stable	Emerging
gju	Gujari	1M to 1B	Stable	Ascending
gka	Guya	Less than 10K	Endangered	Still
gkd	Magɨ	None	Endangered	Still
gke	Ndai	None	Endangered	Emerging
gkn	Gokana	10K to 1M	Stable	Ascending
gko	Kok-Nar	None	Extinct	Still
gkp	Guinea Kpelle	10K to 1M	Stable	Ascending
gku	‡Ungkue	None	Extinct	Still
gla	Scottish Gaelic	10K to 1M	Institutional	Vital
glb	Belning	Less than 10K	Stable	Still
glc	Bon Gula	Less than 10K	Stable	Emerging
gld	Nanai	Less than 10K	Endangered	Ascending
gle	Irish	1M to 1B	Endangered	Vital
glg	Galician	1M to 1B	Institutional	Vital
glh	Pashai, Northwest	10K to 1M	Stable	Still
glj	Gula Iro	Less than 10K	Stable	Emerging
glk	Gilaki	1M to 1B	Institutional	Ascending
gll	Garlali	None	Extinct	Still
glo	Galambi	Less than 10K	Endangered	Still
glr	Glaro-Twabo	Less than 10K	Endangered	Emerging
glu	Gula	10K to 1M	Stable	Emerging
glv	Manx	Less than 10K	Endangered	Vital
glw	Glavda	10K to 1M	Stable	Emerging
gly	Gule	None	Endangered	Still
gma	Gambera	None	Extinct	Still
gmb	Gula’alaa	Less than 10K	Stable	Still
gmd	Mághdì	Less than 10K	Endangered	Still
gmg	Magiyi	None	Stable	Still
gmm	Gbaya-Mbodomo	10K to 1M	Stable	Ascending
gmn	Gimnime	Less than 10K	Endangered	Emerging
gmr	Mirning	None	Endangered	Still
gmu	Gumalu	Less than 10K	Stable	Still
gmv	Gamo	1M to 1B	Institutional	Ascending
gmx	Magoma	Less than 10K	Stable	Emerging
gmz	Mgbolizhia	10K to 1M	Stable	Still
gna	Kaansa	Less than 10K	Stable	Ascending
gnb	Gangte	10K to 1M	Stable	Emerging
gnc	Guanche	None	Extinct	Emerging
gnd	Zulgo-Gemzek	10K to 1M	Stable	Ascending
gne	Ganang	Less than 10K	Endangered	Still
gng	Ngangam	10K to 1M	Stable	Ascending
gnh	Lere	None	Endangered	Still
gni	Gooniyandi	Less than 10K	Endangered	Emerging
gnj	Ngen	Less than 10K	Endangered	Still
gnk	ǁGana	Less than 10K	Endangered	Still
gnl	Gangulu	None	Extinct	Still
gnm	Ginuman	Less than 10K	Stable	Still
gnn	Gumatj	Less than 10K	Endangered	Emerging
gno	Northern Gondi	1M to 1B	Stable	Ascending
gnq	Gana	Less than 10K	Endangered	Emerging
gnr	Gureng Gureng	None	Endangered	Still
gnt	Wartha Thuntai	Less than 10K	Stable	Still
gnu	Gnau	Less than 10K	Stable	Still
gnw	Western Bolivian Guaraní	Less than 10K	Stable	Emerging
gnz	Ganzi	Less than 10K	Endangered	Still
goa	Guro	10K to 1M	Stable	Emerging
gob	Playero	Less than 10K	Endangered	Still
goc	Gorakor	Less than 10K	Stable	Still
god	Godié	10K to 1M	Stable	Ascending
goe	Gongduk	Less than 10K	Endangered	Still
gof	Gofa	10K to 1M	Institutional	Ascending
gog	Gogo	1M to 1B	Stable	Ascending
goi	Gebusi	Less than 10K	Stable	Emerging
goj	Gowlan	10K to 1M	Stable	Still
gok	Gowli	10K to 1M	Stable	Emerging
gol	Gola	10K to 1M	Stable	Emerging
gom	Goan Konkani	1M to 1B	Stable	Ascending
goo	Gone Dau	Less than 10K	Stable	Still
gop	Yeretuar	Less than 10K	Endangered	Still
goq	Gorap	Less than 10K	Endangered	Emerging
gor	Gorontalo	10K to 1M	Endangered	Ascending
gos	Gronings	10K to 1M	Stable	Ascending
gou	Gavar	10K to 1M	Endangered	Emerging
gov	Goo	Less than 10K	Stable	Still
gow	Gorwaa	10K to 1M	Endangered	Still
gox	Gobu	10K to 1M	Stable	Emerging
goy	Goundo	None	Endangered	Emerging
goz	Gozarkhani	None	Endangered	Still
gpa	Gupa-Abawa	10K to 1M	Stable	Still
gpe	Ghanaian Pidgin English	1M to 1B	Institutional	Ascending
gpn	Tayap	None	Endangered	Still
gqa	Ga’anda	10K to 1M	Endangered	Emerging
gqi	Guiqiong	Less than 10K	Endangered	Still
gqn	Guana	None	Endangered	Still
gqr	Gor	10K to 1M	Stable	Ascending
gqu	Qau	Less than 10K	Endangered	Still
gra	Rajput Garasia	10K to 1M	Stable	Still
grc	Ancient Greek	None	Extinct	Ascending
grd	Guruntum-Mbaaru	10K to 1M	Endangered	Still
grg	Madi	Less than 10K	Stable	Emerging
grh	Tugbiri-Niragu	10K to 1M	Stable	Emerging
gri	Ghari	10K to 1M	Stable	Emerging
grj	Grebo, Southern	10K to 1M	Stable	Emerging
grm	Kota Marudu Talantang	None	Endangered	Still
gro	Groma	10K to 1M	Endangered	Still
grq	Gorovu	None	Endangered	Still
grr	Taznatit	10K to 1M	Stable	Emerging
grs	Gresi	Less than 10K	Endangered	Still
grt	Garo	1M to 1B	Institutional	Ascending
gru	Kistane	10K to 1M	Stable	Emerging
grv	Grebo, Central	10K to 1M	Stable	Emerging
grw	Gweda	None	Endangered	Emerging
grx	Muno	Less than 10K	Endangered	Still
gry	Grebo, Barclayville	10K to 1M	Stable	Emerging
grz	Guramalum	None	Extinct	Still
gse	Ghanaian Sign Language	10K to 1M	Stable	Emerging
gsg	German Sign Language	10K to 1M	Stable	Emerging
gsl	Gusilay	10K to 1M	Stable	Emerging
gsm	Guatemalan Sign Language	10K to 1M	Stable	Emerging
gsn	Nema	Less than 10K	Stable	Still
gso	Southwest Gbaya	10K to 1M	Stable	Emerging
gsp	Wasembo	Less than 10K	Stable	Still
gss	Greek Sign Language	10K to 1M	Stable	Emerging
gsw	Swiss German	1M to 1B	Stable	Vital
gta	Guató	None	Endangered	Still
gtu	Aghu-Tharnggala	None	Extinct	Still
gua	Shiki	None	Endangered	Still
gub	Guajajára	10K to 1M	Stable	Emerging
guc	Wayuu	10K to 1M	Stable	Ascending
gud	Yocoboué Dida	10K to 1M	Stable	Emerging
gue	Gurindji	Less than 10K	Endangered	Emerging
guf	Gupapuyngu	Less than 10K	Endangered	Emerging
gug	Paraguayan Guaraní	1M to 1B	Institutional	Vital
guh	Guahibo	10K to 1M	Stable	Emerging
gui	Eastern Bolivian Guaraní	10K to 1M	Stable	Ascending
guj	Gujarati	1M to 1B	Institutional	Vital
guk	Gumuz	10K to 1M	Institutional	Ascending
gul	Sea Island English Creole	Less than 10K	Endangered	Ascending
gum	Misak	10K to 1M	Stable	Ascending
gun	Mbyá Guaraní	10K to 1M	Stable	Ascending
guo	Guayabero	Less than 10K	Stable	Emerging
gup	Gunwinggu	Less than 10K	Stable	Emerging
guq	Aché	Less than 10K	Stable	Still
gur	Farefare	10K to 1M	Stable	Ascending
gus	Guinean Sign Language	10K to 1M	Stable	Still
gut	Maléku Jaíka	Less than 10K	Endangered	Emerging
guu	Yanomamö	10K to 1M	Stable	Emerging
guw	Gun	1M to 1B	Stable	Ascending
gux	Gourmanchéma	1M to 1B	Stable	Ascending
guz	Ekegusii	1M to 1B	Stable	Ascending
gva	Guana	None	Endangered	Still
gvc	Wanano	Less than 10K	Endangered	Emerging
gve	Duwet	Less than 10K	Endangered	Still
gvf	Golin	10K to 1M	Stable	Emerging
gvj	Guajá	Less than 10K	Stable	Still
gvl	Gulay	10K to 1M	Stable	Ascending
gvm	Gurmana	Less than 10K	Endangered	Still
gvn	Kuku-Yalanji	Less than 10K	Endangered	Emerging
gvo	Gavião do Jiparaná	Less than 10K	Stable	Still
gvp	Gavião, Pará	Less than 10K	Endangered	Still
gvr	Gurung	10K to 1M	Endangered	Ascending
gvs	Gumawana	Less than 10K	Stable	Emerging
gvy	Guyani	None	Extinct	Still
gwa	Nghlwa	10K to 1M	Stable	Emerging
gwb	Gwa	Less than 10K	Endangered	Still
gwc	Gawri	10K to 1M	Endangered	Ascending
gwd	Ale	10K to 1M	Institutional	Emerging
gwe	Gweno	None	Endangered	Emerging
gwf	Gowro	Less than 10K	Endangered	Still
gwg	Moo	Less than 10K	Stable	Still
gwi	Gwich’in	Less than 10K	Endangered	Ascending
gwj	ǀGwi	Less than 10K	Endangered	Emerging
gwm	Awngthim	None	Extinct	Still
