Title	Endonym	Status	Language	"Script (ISO
15924 code)"	"WP
code"	Language Code (if not Wikipedia Code)	Recovered language name	Articles	"Active
users"	Launch date	Launch Date	URL
Wikipedia Tarifit	Tarifiyt	Incubator			rif		Tarifit					https://incubator.wikimedia.org/wiki/Wp/rif
Wikipedia Rajbanshi	राजबंशी‎	Incubator			rjs		Rajbanshi					https://incubator.wikimedia.org/wiki/Wp/rjs
Wikipedia Rakhine	ရခိုင်	Incubator			rki		Rakhine					https://incubator.wikimedia.org/wiki/Wp/rki
Wikipedia Rangpuri	অংপুরি	Incubator			rkt		Rangpuri					https://incubator.wikimedia.org/wiki/Wp/rkt
Wikipedia Carpathian Romani	Romaňi čhib	Incubator			rmc		Carpathian Romani					https://incubator.wikimedia.org/wiki/Wp/rmc
Wikipedia Finnish Kalo	Kaalengo tšimb	Incubator			rmf		Kalo Finnish Romani					https://incubator.wikimedia.org/wiki/Wp/rmf
Wikipedia Baltic Romani	Романы / Romani	Incubator			rml		Baltic Romani					https://incubator.wikimedia.org/wiki/Wp/rml
Wikipedia Balkan Romani	Rromani / Романи / Ρομανι	Incubator			rmn		Balkan Romani					https://incubator.wikimedia.org/wiki/Wp/rmn
Wikipedia Pannonian Rusyn	Руски язик	Incubator			rsk		Ruthenian					https://incubator.wikimedia.org/wiki/Wp/rsk
Wikipedia Rotuman	Fäeag Rotuạm	Incubator			rtm		Rotuman					https://incubator.wikimedia.org/wiki/Wp/rtm
Wikipedia Marwari	मारवाड़ी	Incubator			rwr		Marwari (India)					https://incubator.wikimedia.org/wiki/Wp/rwr
Wikipedia Okinawan	うちなーぐち/沖縄口	Incubator			ryu		Central Okinawan					https://incubator.wikimedia.org/wiki/Wp/ryu
Wikipedia Sasak	Base Sasak	Incubator			sas		Sasak					https://incubator.wikimedia.org/wiki/Wp/sas
Wikipedia Sassarese	Sassaresu	Incubator			sdc		Sassarese Sardinian					https://incubator.wikimedia.org/wiki/Wp/sdc
Wikipedia Southern Kurdish	کوردی خوارگ	Incubator			sdh		Southern Kurdish					https://incubator.wikimedia.org/wiki/Wp/sdh
Wikipedia Bukar–Sadong	Bidayŭh Bukar-Sadung	Incubator			sdo		Bukar-Sadung Bidayuh					https://incubator.wikimedia.org/wiki/Wp/sdo
Wikipedia Selkup	шöйӄумый эты	Incubator			sel		Selkup					https://incubator.wikimedia.org/wiki/Wp/sel
Wikipedia Shughni	xuǧnůn ziv/хуг̌ну̊н зив	Incubator			sgh		Shughni					https://incubator.wikimedia.org/wiki/Wp/sgh
Wikipedia Surgujia	सरगुजिया	Incubator			sgj		Surgujia					https://incubator.wikimedia.org/wiki/Wp/sgj
Wikipedia Sanglechi	Dargi	Incubator			sgy		Sanglechi					https://incubator.wikimedia.org/wiki/Wp/sgy
Wikipedia Shoshoni	Sosoni' da̲i̲gwape	Incubator			shh		Shoshoni					https://incubator.wikimedia.org/wiki/Wp/shh
Wikipedia Shipibo	Shipibo	Incubator			shp		Shipibo-Conibo					https://incubator.wikimedia.org/wiki/Wp/shp
Wikipedia Shawiya	tacawit	Incubator			shy		Tachawit					https://incubator.wikimedia.org/wiki/Wp/shy
Wikipedia Sikkimese	འབྲས་ལྗོངས་སྐད་	Incubator			sip		Sikkimese					https://incubator.wikimedia.org/wiki/Wp/sip
Wikipedia Kildin Sami	Кӣллт са̄мь кӣлл	Incubator			sjd		Kildin Sami					https://incubator.wikimedia.org/wiki/Wp/sjd
Wikipedia Xibe	"ᠰᡳᠪᡝ
ᡤᡳᠰᡠᠨ"	Incubator			sjo		Xibe					https://incubator.wikimedia.org/wiki/Wp/sjo
Wikipedia Ume Sami	ubmejesámiengiälla	Incubator			sju		Ume Sami					https://incubator.wikimedia.org/wiki/Wp/sju
Wikipedia Lower Silesian	Schläsch	Incubator			sli		Lower Silesian					https://incubator.wikimedia.org/wiki/Wp/sli
Wikipedia Salar	Salırça	Incubator			slr		Salar					https://incubator.wikimedia.org/wiki/Wp/slr
Wikipedia Selayar	Basa Silajara	Incubator			sly		Selayar					https://incubator.wikimedia.org/wiki/Wp/sly
Wikipedia Southern Sami	Åarjelsaemien	Incubator			sma		Southern Sami					https://incubator.wikimedia.org/wiki/Wp/sma
Wikipedia Skolt Sami	sääʹmǩiõll	Incubator			sms		Skolt Sami					https://incubator.wikimedia.org/wiki/Wp/sms
Wikipedia Sumbawa	basa Semawa	Incubator			smw		Sumbawa					https://incubator.wikimedia.org/wiki/Wp/smw
Wikipedia Jagoi	sne	Incubator			sne		Bau Bidayuh					https://incubator.wikimedia.org/wiki/Wp/sne
Wikipedia Soninke	Sooninkanxanne	Incubator			snk		Soninke					https://incubator.wikimedia.org/wiki/Wp/snk
Wikipedia Soqotri	ماتڸ دسقطري	Incubator			sqt		Soqotri					https://incubator.wikimedia.org/wiki/Wp/sqt
Wikipedia Sarikoli	سەرىقۇلى زىڤ	Incubator			srh		Sarikoli					https://incubator.wikimedia.org/wiki/Wp/srh
Wikipedia Campidanese Sardinian	sardu campidanesu	Incubator			sro		Campidanese Sardinian					https://incubator.wikimedia.org/wiki/Wp/sro
Wikipedia Thao	Thaw a lalawa	Incubator			ssf		Thao					https://incubator.wikimedia.org/wiki/Wp/ssf
Wikipedia Stellingwerfs	Stellingwarfs	Incubator			stl		Stellingwerfs					https://incubator.wikimedia.org/wiki/Wp/stl
Wikipedia Siberian Tatar	Сибертатарца	Incubator			sty		Siberian Tatar					https://incubator.wikimedia.org/wiki/Wp/sty
Wikipedia Susu	Sosoxui	Incubator			sus		Susu					https://incubator.wikimedia.org/wiki/Wp/sus
Wikipedia Sunwar	सुनुवार	Incubator			suz		Sunwar					https://incubator.wikimedia.org/wiki/Wp/suz
Wikipedia Sangir	Sangihẹ̆	Incubator			sxn		Sangir					https://incubator.wikimedia.org/wiki/Wp/sxn
Wikipedia Hla’alua	Hla’alua	Incubator			sxr		Saaroa					https://incubator.wikimedia.org/wiki/Wp/sxr
Wikipedia Sylheti	ꠍꠤꠟꠐꠤ	Incubator			syl		Sylheti					https://incubator.wikimedia.org/wiki/Wp/syl
Wikipedia Eastern Tamang	तामाङ	Incubator			taj		Eastern Tamang					https://incubator.wikimedia.org/wiki/Wp/taj
Wikipedia Yami	Cizicizing No Tao	Incubator			tao		Yami					https://incubator.wikimedia.org/wiki/Wp/tao
Wikipedia Tai Nüa	ᥖᥭᥰ ᥖᥬᥲ ᥑᥨᥒᥰ	Incubator			tdd		Tai Nüa					https://incubator.wikimedia.org/wiki/Wp/tdd
Wikipedia Western Tamang	तामाङ	Incubator			tdg		Western Tamang					https://incubator.wikimedia.org/wiki/Wp/tdg
Wikipedia Rana Tharu	राना थारू‎	Incubator			thr		Rana Tharu					https://incubator.wikimedia.org/wiki/Wp/thr
Wikipedia Tigre	ትግሬ	Incubator			tig		Tigre					https://incubator.wikimedia.org/wiki/Wp/tig
Wikipedia Tiv	Tiv	Incubator			tiv		Tiv					https://incubator.wikimedia.org/wiki/Wp/tiv
Wikipedia Tokelauan	Tokelau	Incubator			tkl		Tokelau					https://incubator.wikimedia.org/wiki/Wp/tkl
Wikipedia Tokunoshima	シマユミィタ	Incubator			tkn		Toku-No-Shima					https://incubator.wikimedia.org/wiki/Wp/tkn
Wikipedia Tlingit	Lingít	Incubator			tli		Tlingit					https://incubator.wikimedia.org/wiki/Wp/tli
Wikipedia Jewish Babylonian Aramaic	ארמית	Incubator			tmr		Jewish Babylonian Aramaic (ca. 200-1200 CE)					https://incubator.wikimedia.org/wiki/Wp/tmr
Wikipedia Tonga	ChiTonga	Incubator			tog		Tonga (Nyasa)					https://incubator.wikimedia.org/wiki/Wp/tog
Wikipedia Kokborok	Kokborok (Tripuri)	Incubator			trp		Kok Borok					https://incubator.wikimedia.org/wiki/Wp/trp
Wikipedia Torwali	توروالی	Incubator			trw		Torwali					https://incubator.wikimedia.org/wiki/Wp/trw
Wikipedia Tausug	Bahasa Sūg	Incubator			tsg		Tausug					https://incubator.wikimedia.org/wiki/Wp/tsg
Wikipedia Tsou	Tsou	Incubator			tsu		Tsou					https://incubator.wikimedia.org/wiki/Wp/tsu
Wikipedia Isan	ภาษาอีสาน	Incubator			tts		Northeastern Thai					https://incubator.wikimedia.org/wiki/Wp/tts
Wikipedia Tati	تاتی	Incubator			ttt		Muslim Tat					https://incubator.wikimedia.org/wiki/Wp/ttt
Wikipedia Tunica	Luhchi Yoroni	Incubator			tun		Tunica					https://incubator.wikimedia.org/wiki/Wp/tun
Wikipedia Tucano	Yepamahsã	Incubator			tuo		Tucano					https://incubator.wikimedia.org/wiki/Wp/tuo
Wikipedia Tuvaluan	Ngangana Tuvalu	Incubator			tvl		Tuvalu					https://incubator.wikimedia.org/wiki/Wp/tvl
Wikipedia Taivoan	Taivoan	Incubator			tvx		Taivoan					https://incubator.wikimedia.org/wiki/Wp/tvx
Wikipedia West Tarangan	Rau Jarjar	Incubator			txn		West Tarangan					https://incubator.wikimedia.org/wiki/Wp/txn
Wikipedia Tày	Tiểng Tày	Incubator			tyz		Tày					https://incubator.wikimedia.org/wiki/Wp/tyz
Wikipedia Central Atlas Tamazight	ⵜⴰⵎⴰⵣⵉⵖⵜ (ⴰⵟⵍⴰⵙ ⴰⵏⴰⵎⵎⴰⵙ) / Tmaziɣt	Incubator			tzm		Central Atlas Tamazight					https://incubator.wikimedia.org/wiki/Wp/tzm
Wikipedia Unserdeutsch	uln	Incubator			uln		Unserdeutsch					https://incubator.wikimedia.org/wiki/Wp/uln
Wikipedia Vai	ꕙꔤ	Incubator			vai		Vai					https://incubator.wikimedia.org/wiki/Wp/vai
Wikipedia East Franconian German	Oschdfrängisch	Incubator			vmf		Mainfränkisch					https://incubator.wikimedia.org/wiki/Wp/vmf
Wikipedia Makhuwa	Emakuana	Incubator			vmw		Makhuwa					https://incubator.wikimedia.org/wiki/Wp/vmw
Wikipedia Wolaitta	Wolayttatto Doonaa	Incubator			wal		Wolaytta					https://incubator.wikimedia.org/wiki/Wp/wal
Wikipedia Warao	Warao	Incubator			wba		Warao					https://incubator.wikimedia.org/wiki/Wp/wba
Wikipedia Wakhi	"زبان واخانی
/ X̌ikwor zik / х̆икв̆ор зик"	Incubator			wbl		Wakhi					https://incubator.wikimedia.org/wiki/Wp/wbl
Wikipedia Westphalian	Westfalish	Incubator			wep		Westphalien					https://incubator.wikimedia.org/wiki/Wp/wep
Wikipedia Fakauvea	Faka'uwea	Incubator			wls		Wallisian					https://incubator.wikimedia.org/wiki/Wp/wls
Wikipedia Waale	Waale	Incubator			wlx		Wali (Ghana)					https://incubator.wikimedia.org/wiki/Wp/wlx
Wikipedia Adilabad Gondi	గోండి	Incubator			wsg		Adilabad Gondi					https://incubator.wikimedia.org/wiki/Wp/wsg
Wikipedia Waxiang	Waxianghua / 瓦鄉話	Incubator			wxa		Waxianghua					https://incubator.wikimedia.org/wiki/Wp/wxa
Wikipedia Wymysorys	Wymysöryś	Incubator			wym		Wymysorys					https://incubator.wikimedia.org/wiki/Wp/wym
Wikipedia Kgalagadi	Kalahari	Incubator			xkv		Kgalagadi					https://incubator.wikimedia.org/wiki/Wp/xkv
Wikipedia Manado Malay	Manado	Incubator			xmm		Manado Malay					https://incubator.wikimedia.org/wiki/Wp/xmm
Wikipedia Kanakanavu	Kanakanavu	Incubator			xnb		Kanakanabu					https://incubator.wikimedia.org/wiki/Wp/xnb
Wikipedia Likpakpaanl	Likpakpaanl	Incubator			xon		Konkomba					https://incubator.wikimedia.org/wiki/Wp/xon
Wikipedia Mohegan-Pequot	Mohiks	Incubator			xpq		Mohegan-Pequot					https://incubator.wikimedia.org/wiki/Wp/xpq
Wikipedia Saisiyat	SaiSiyat	Incubator			xsy		Saisiyat					https://incubator.wikimedia.org/wiki/Wp/xsy
Wikipedia Yazghulami	зѓамиѓай	Incubator			yah		Yazgulyam					https://incubator.wikimedia.org/wiki/Wp/yah
Wikipedia Yaghnobi	яғнобӣ зивок	Incubator			yai		Yagnobi					https://incubator.wikimedia.org/wiki/Wp/yai
Wikipedia Yonaguni	与那国物言/ドゥナンムヌイ	Incubator			yoi		Yonaguni					https://incubator.wikimedia.org/wiki/Wp/yoi
Wikipedia Nenets	ненэцяʼ вада	Incubator			yrk		Nenets					https://incubator.wikimedia.org/wiki/Wp/yrk
Wikipedia Nheengatu	Nheengatu	Incubator			yrl		Nhengatu					https://incubator.wikimedia.org/wiki/Wp/yrl
Wikipedia Yucatec Maya	Maaya t'aan	Incubator			yua		Yucateco					https://incubator.wikimedia.org/wiki/Wp/yua
Wikipedia Isthmus Zapotec	diidxazá	Incubator			zai		Isthmus Zapotec					https://incubator.wikimedia.org/wiki/Wp/zai
Wikipedia Zenaga	Tuẓẓungiyya	Incubator			zen		Zenaga					https://incubator.wikimedia.org/wiki/Wp/zen
Wikipedia Negeri Sembilan Malay	Bahasa Melayu Negeri Sembilan	Incubator			zmi		Negeri Sembilan Malay					https://incubator.wikimedia.org/wiki/Wp/zmi
